title,rating,reviews,link
New York - New York Hotel & Casino,4.0,,https://www.tripadvisor.com/Hotel_Review-g45963-d91904-Reviews-New_York_New_York_Hotel_Casino-Las_Vegas_Nevada.html?
New York Café,3.9,3939.0,https://www.tripadvisor.com/Restaurant_Review-g274887-d970327-Reviews-New_York_Cafe-Budapest_Central_Hungary.html
Casino at New York - New York,4.0,,https://www.tripadvisor.com/Attraction_Review-g45963-d209797-Reviews-Casino_at_New_York_New_York-Las_Vegas_Nevada.html
Anantara New York Palace Budapest Hotel,4.6,4646.0,https://www.tripadvisor.com/Hotel_Review-g274887-d602514-Reviews-Anantara_New_York_Palace_Budapest_Hotel-Budapest_Central_Hungary.html?
New York - New York,3.7,3737.0,https://www.tripadvisor.com/Restaurant_Review-g187221-d2707537-Reviews-New_York_New_York-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
New York Steakhouse,4.7,4747.0,https://www.tripadvisor.com/Restaurant_Review-g294009-d2355996-Reviews-New_York_Steakhouse-Doha.html
Hotel Riu Plaza New York Times Square,4.4,4444.0,https://www.tripadvisor.com/Hotel_Review-g60763-d8515751-Reviews-Hotel_Riu_Plaza_New_York_Times_Square-New_York_City_New_York.html?
Cresci Pizzeria,4.9,4949.0,https://www.tripadvisor.com/Restaurant_Review-g186346-d21269096-Reviews-Cresci_Pizzeria-York_North_Yorkshire_England.html
New York Restaurant and Bar,4.8,4848.0,https://www.tripadvisor.com/Restaurant_Review-g670690-d1088920-Reviews-New_York_Restaurant_and_Bar-Armutalan_Marmaris_District_Mugla_Province_Turkish_Ae.html
Café-Restaurant Hotel New York,3.9,3939.0,https://www.tripadvisor.com/Restaurant_Review-g188632-d795604-Reviews-Cafe_Restaurant_Hotel_New_York-Rotterdam_South_Holland_Province.html
Gallaghers Steakhouse,4.4,4444.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d478965-Reviews-Gallaghers_Steakhouse-New_York_City_New_York.html
Olio E Più,4.7,4747.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d1878682-Reviews-Olio_E_Piu-New_York_City_New_York.html
New York Steakhouse,4.8,4848.0,https://www.tripadvisor.com/Restaurant_Review-g293916-d1093909-Reviews-New_York_Steakhouse-Bangkok.html
New York Restaurant,4.3,4343.0,https://www.tripadvisor.com/Restaurant_Review-g312564-d2386900-Reviews-New_York_Restaurant-Bloemfontein_Free_State.html
La Grande Boucherie,4.8,4848.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d21410713-Reviews-La_Grande_Boucherie-New_York_City_New_York.html
The New York Restaurant,4.3,4343.0,https://www.tripadvisor.com/Restaurant_Review-g42281-d3241546-Reviews-The_New_York_Restaurant-Harbor_Springs_Emmet_County_Michigan.html
Executive Hotel Le Soleil New York,4.6,4646.0,https://www.tripadvisor.com/Hotel_Review-g60763-d7816364-Reviews-Executive_Hotel_Le_Soleil_New_York-New_York_City_New_York.html?
Sofitel New York,4.4,4444.0,https://www.tripadvisor.com/Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html?
New York New York Greek Restaurant,4.3,4343.0,https://www.tripadvisor.com/Restaurant_Review-g183462-d1010004-Reviews-New_York_New_York_Greek_Restaurant-Surrey_British_Columbia.html
Le Bernardin,4.6,4646.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html
New York - New York,3.8,3838.0,https://www.tripadvisor.com/Restaurant_Review-g60751-d513174-Reviews-New_York_New_York-Titusville_Brevard_County_Florida.html
Zuma New York,4.1,4141.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d7254734-Reviews-Zuma_New_York-New_York_City_New_York.html
Westway Diner,4.4,4444.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d459367-Reviews-Westway_Diner-New_York_City_New_York.html
Iroquois New York Times Square,4.6,4646.0,https://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-Iroquois_New_York_Times_Square-New_York_City_New_York.html?
New York Prime,4.4,4444.0,https://www.tripadvisor.com/Restaurant_Review-g54359-d565857-Reviews-New_York_Prime-Myrtle_Beach_South_Carolina.html
Sicily Osteria,4.8,4848.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d23988141-Reviews-Sicily_Osteria-New_York_City_New_York.html
New York City,,,https://www.tripadvisor.com/Tourism-g60763-New_York_City_New_York-Vacations.html
Patsy's Italian Restaurant,4.5,4545.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d478026-Reviews-Patsy_s_Italian_Restaurant-New_York_City_New_York.html
Benoit New York,4.2,4242.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d1049685-Reviews-Benoit_New_York-New_York_City_New_York.html
Loi Estiatorio,4.7,4747.0,https://www.tripadvisor.com/Restaurant_Review-g60763-d7814915-Reviews-Loi_Estiatorio-New_York_City_New_York.html
